ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,GEOID,geotypevalue06,geoname,COUNTY,county_fips,region_name,region_code,Poverty,TotalPop,NumPov,percent,LL_95CI_percent,UL_95CI_percent,percent_SE,percent_RSE,place_decile,CA_RR,ConcentratedCT,version_pov
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401100,6001401100,4011,Alameda,6001,,,Overall,3738,777.504,20.8,11.9829787,29.6170213,4.4984802,21.6273089,,1.5182482,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401200,6001401200,4012,Alameda,6001,,,Overall,2532,207.624,8.2,1.5276596,14.8723404,3.4042553,41.5153088,,0.5985401,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401300,6001401300,4013,Alameda,6001,,,Overall,3564,1322.244,37.1,27.0914894,47.1085106,5.106383,13.7638355,,2.7080292,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401400,6001401400,4014,Alameda,6001,,,Overall,3468,919.02,26.5,14.2276596,38.7723404,6.2613982,23.6279176,,1.9343066,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401500,6001401500,4015,Alameda,6001,,,Overall,1703,480.246,28.2,14.7361702,41.6638298,6.8693009,24.3592231,,2.0583942,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401600,6001401600,4016,Alameda,6001,,,Overall,1913,353.905,18.5,8.4914894,28.5085106,5.106383,27.6020702,,1.350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401700,6001401700,4017,Alameda,6001,,,Overall,2023,491.589,24.3,9.5255319,39.0744681,7.5379939,31.0205511,,1.7737226,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401800,6001401800,4018,Alameda,6001,,,Overall,1380,433.32,31.4,10.3106383,52.4893617,10.7598784,34.2671287,,2.2919708,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402200,6001402200,4022,Alameda,6001,,,Overall,2313,698.526,30.2,14.8297872,45.5702128,7.8419453,25.9667063,,2.2043796,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402400,6001402400,4024,Alameda,6001,,,Overall,2077,594.022,28.6,15.3744681,41.8255319,6.7477204,23.5934278,,2.0875912,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402500,6001402500,4025,Alameda,6001,,,Overall,2031,680.385,33.5,20.393617,46.606383,6.6869301,19.9609853,,2.4452555,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402600,6001402600,4026,Alameda,6001,,,Overall,1002,189.378,18.9,2.4574468,35.3425532,8.3890578,44.3865489,,1.379562,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402700,6001402700,4027,Alameda,6001,,,Overall,1416,328.512,23.2,4.2553191,42.1446809,9.6656535,41.6622995,,1.6934307,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402800,6001402800,4028,Alameda,6001,,,Overall,2137,829.156,38.8,29.0297872,48.5702128,4.9848024,12.8474289,,2.8321168,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001402900,6001402900,4029,Alameda,6001,,,Overall,1036,293.188,28.3,16.0276596,40.5723404,6.2613982,22.1250819,,2.0656934,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403000,6001403000,4030,Alameda,6001,,,Overall,2434,484.366,19.9,10.8446809,28.9553191,4.6200608,23.2163859,,1.4525547,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403100,6001403100,4031,Alameda,6001,,,Overall,1184,355.2,30,10.9361702,49.0638298,9.7264438,32.4214792,,2.189781,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403300,6001403300,4033,Alameda,6001,,,Overall,4194,775.89,18.5,11.7085106,25.2914894,3.4650456,18.7299762,,1.350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403400,6001403400,4034,Alameda,6001,,,Overall,4304,563.824,13.1,8.3340426,17.8659574,2.4316109,18.5619156,,0.9562044,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403501,6001403501,4035.01,Alameda,6001,,,Overall,4340,1167.46,26.9,15.7,38.1,5.7142857,21.2426978,,1.9635036,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403502,6001403502,4035.02,Alameda,6001,,,Overall,2016,175.392,8.7,2.5042553,14.8957447,3.1610942,36.3344164,,0.6350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403600,6001403600,4036,Alameda,6001,,,Overall,4816,288.96,6,2.9021277,9.0978723,1.5805471,26.3424519,,0.4379562,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403701,6001403701,4037.01,Alameda,6001,,,Overall,2278,343.978,15.1,9.0234043,21.1765957,3.100304,20.5318142,,1.1021898,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403702,6001403702,4037.02,Alameda,6001,,,Overall,1915,139.795,7.3,1.5808511,13.0191489,2.9179331,39.9716867,,0.5328467,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403800,6001403800,4038,Alameda,6001,,,Overall,3790,231.19,6.1,2.5255319,9.6744681,1.8237082,29.8968558,,0.4452555,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001403900,6001403900,4039,Alameda,6001,,,Overall,3804,163.572,4.3,1.6787234,6.9212766,1.337386,31.1020004,,0.3138686,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404000,6001404000,4040,Alameda,6001,,,Overall,2732,256.808,9.4,4.0382979,14.7617021,2.7355623,29.1017267,,0.6861314,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404101,6001404101,4041.01,Alameda,6001,,,Overall,2979,259.173,8.7,3.2191489,14.1808511,2.7963526,32.1419837,,0.6350365,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404102,6001404102,4041.02,Alameda,6001,,,Overall,2451,191.178,7.8,1.1276596,14.4723404,3.4042553,43.644299,,0.5693431,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404200,6001404200,4042,Alameda,6001,,,Overall,3271,104.672,3.2,0,6.7744681,1.8237082,56.9908815,,0.2335766,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404300,6001404300,4043,Alameda,6001,,,Overall,3197,38.364,1.2,0,2.5106383,0.668693,55.7244174,,0.0875912,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404400,6001404400,4044,Alameda,6001,,,Overall,5391,64.692,1.2,0,2.6297872,0.7294833,60.7902736,,0.0875912,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404501,6001404501,4045.01,Alameda,6001,,,Overall,1702,32.338,1.9,0,5.3553191,1.7629179,92.7851544,,0.1386861,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404502,6001404502,4045.02,Alameda,6001,,,Overall,5858,175.74,3,0.2595745,5.7404255,1.3981763,46.6058764,,0.2189781,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404600,6001404600,4046,Alameda,6001,,,Overall,4525,67.875,1.5,0.1893617,2.8106383,0.668693,44.5795339,,0.1094891,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001404700,6001404700,4047,Alameda,6001,,,Overall,2026,52.676,2.6,0.2170213,4.9829787,1.2158055,46.7617489,,0.189781,no,1/22/2014 12:04
